timestamp, L1_m, F1_m3ph, F2_m3ph, price_EUR_per_kWh, pump_freqs_Hz
2024-11-15 00:15:00, 2.385, 5818.1, 5335.2, 0.0029, [0:0.0, 1:50.0, 2:50.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 04:45:00, 0.608, 2589.2, 1800.4, 0.0034, [0:0.0, 1:50.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 05:00:00, 0.527, 2479.5, 0.0, 0.0037, [0:0.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 05:15:00, 0.557, 2277.2, 3600.7, 0.0037, [0:50.0, 1:50.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 05:30:00, 0.500, 2151.3, 2983.5, 0.0037, [0:0.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:47.6]
2024-11-15 05:45:00, 0.556, 2036.5, 3466.7, 0.0037, [0:49.5, 1:49.5, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 06:00:00, 0.521, 2128.8, 1800.4, 0.0085, [0:0.0, 1:50.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 06:15:00, 0.614, 1947.1, 1800.4, 0.0085, [0:50.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 06:30:00, 0.581, 1947.1, 1485.3, 0.0085, [0:0.0, 1:47.6, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 06:45:00, 0.493, 1947.1, 2983.5, 0.0085, [0:0.0, 1:0.0, 2:0.0, 3:0.0, 4:47.6, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 07:00:00, 0.597, 1947.1, 1800.4, 0.0377, [0:50.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 07:15:00, 0.628, 1947.1, 1800.4, 0.0377, [0:50.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 07:30:00, 0.657, 1947.1, 1800.4, 0.0377, [0:50.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 07:45:00, 0.686, 1947.1, 1800.4, 0.0377, [0:50.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 08:00:00, 0.739, 2315.3, 1800.4, 0.0543, [0:50.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 08:15:00, 0.809, 2304.1, 1800.4, 0.0543, [0:50.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 08:30:00, 0.844, 1947.1, 1800.4, 0.0543, [0:50.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 08:45:00, 0.866, 2041.1, 1800.4, 0.0543, [0:0.0, 1:50.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 09:00:00, 0.930, 2787.9, 1800.4, 0.0415, [0:0.0, 1:50.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 09:15:00, 1.024, 2958.3, 1800.4, 0.0415, [0:0.0, 1:50.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 09:30:00, 1.113, 3005.8, 1800.4, 0.0415, [0:0.0, 1:50.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 09:45:00, 1.201, 3209.1, 1800.4, 0.0415, [0:0.0, 1:50.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 10:00:00, 1.295, 3584.5, 1800.4, 0.0113, [0:0.0, 1:50.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 10:15:00, 1.394, 3732.0, 1800.4, 0.0113, [0:0.0, 1:50.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 10:30:00, 1.486, 3714.3, 1800.4, 0.0113, [0:0.0, 1:50.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 10:45:00, 1.568, 3622.4, 1800.4, 0.0113, [0:0.0, 1:50.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 11:00:00, 1.648, 3847.3, 1800.4, 0.0130, [0:0.0, 1:50.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 11:15:00, 1.740, 4471.3, 1800.4, 0.0130, [0:0.0, 1:50.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 11:30:00, 1.829, 4085.6, 1800.4, 0.0130, [0:0.0, 1:50.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 11:45:00, 1.914, 4462.0, 1800.4, 0.0130, [0:0.0, 1:50.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 12:00:00, 2.002, 4575.2, 1800.4, 0.0063, [0:0.0, 1:50.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 12:15:00, 2.090, 4809.7, 1800.4, 0.0063, [0:0.0, 1:50.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 12:30:00, 2.178, 4911.7, 1800.4, 0.0063, [0:0.0, 1:50.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 12:45:00, 2.237, 5014.8, 3534.8, 0.0063, [0:0.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:50.0, 7:0.0]
2024-11-15 13:00:00, 2.277, 5010.2, 3534.8, 0.0037, [0:0.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:50.0, 7:0.0]
2024-11-15 13:15:00, 2.314, 4905.5, 3534.8, 0.0037, [0:0.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:50.0, 7:0.0]
2024-11-15 13:30:00, 2.347, 4760.7, 3534.8, 0.0037, [0:0.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:50.0, 7:0.0]
2024-11-15 13:45:00, 2.379, 4766.8, 3534.8, 0.0037, [0:0.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:50.0, 7:0.0]
2024-11-15 14:00:00, 2.392, 4724.2, 4468.8, 0.0039, [0:47.6, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:47.6, 7:0.0]
2024-11-15 14:15:00, 2.397, 4553.9, 4468.8, 0.0039, [0:47.6, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:47.6, 7:0.0]
2024-11-15 14:30:00, 2.398, 4516.7, 4468.8, 0.0039, [0:47.6, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:47.6, 7:0.0]
2024-11-15 14:45:00, 2.400, 4567.1, 4468.8, 0.0039, [0:47.6, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:47.6, 7:0.0]
2024-11-15 15:00:00, 2.405, 4709.6, 4468.8, 0.0051, [0:47.6, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:47.6, 7:0.0]
2024-11-15 15:15:00, 2.406, 4374.6, 4468.8, 0.0051, [0:47.6, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:47.6, 7:0.0]
2024-11-15 15:30:00, 2.389, 3313.2, 4468.8, 0.0051, [0:47.6, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:47.6, 7:0.0]
2024-11-15 15:45:00, 2.390, 5534.3, 4468.8, 0.0051, [0:47.6, 1:0.0, 2:0.0, 3:47.6, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 16:00:00, 2.410, 5043.9, 4476.1, 0.0084, [0:47.6, 1:0.0, 2:0.0, 3:47.6, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 16:15:00, 2.418, 4579.8, 4503.4, 0.0084, [0:47.7, 1:0.0, 2:0.0, 3:47.7, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 16:30:00, 2.419, 4547.4, 4521.3, 0.0084, [0:47.7, 1:0.0, 2:0.0, 3:47.7, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 16:45:00, 2.418, 4449.7, 4535.1, 0.0084, [0:47.8, 1:0.0, 2:0.0, 3:47.8, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 17:00:00, 2.415, 4387.6, 4544.9, 0.0091, [0:47.8, 1:0.0, 2:0.0, 3:47.8, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 17:15:00, 2.411, 4367.0, 4552.7, 0.0091, [0:47.8, 1:0.0, 2:0.0, 3:47.8, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 17:30:00, 2.406, 4366.1, 4559.8, 0.0091, [0:47.9, 1:0.0, 2:0.0, 3:47.9, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 17:45:00, 2.401, 4365.5, 4566.6, 0.0091, [0:47.9, 1:0.0, 2:0.0, 3:47.9, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 18:00:00, 2.404, 4473.9, 3534.8, 0.0472, [0:0.0, 1:0.0, 2:0.0, 3:50.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 18:15:00, 2.427, 4502.6, 3534.8, 0.0472, [0:0.0, 1:0.0, 2:0.0, 3:50.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 18:30:00, 2.450, 4480.2, 3534.8, 0.0472, [0:0.0, 1:0.0, 2:0.0, 3:50.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 18:45:00, 2.473, 4470.2, 3534.8, 0.0472, [0:0.0, 1:0.0, 2:0.0, 3:50.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 19:00:00, 2.497, 4562.7, 3534.8, 0.1357, [0:0.0, 1:0.0, 2:0.0, 3:50.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 19:15:00, 2.522, 4596.4, 3534.8, 0.1357, [0:0.0, 1:0.0, 2:0.0, 3:50.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 19:30:00, 2.546, 4577.9, 3534.8, 0.1357, [0:0.0, 1:0.0, 2:0.0, 3:50.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-15 19:45:00, 2.570, 4546.6, 3534.8, 0.1357, [0:0.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:50.0, 6:0.0, 7:0.0]
2024-11-15 20:00:00, 2.595, 4644.2, 3534.8, 0.1732, [0:0.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:50.0, 6:0.0, 7:0.0]
2024-11-15 20:15:00, 2.620, 4649.5, 3534.8, 0.1732, [0:0.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:50.0, 6:0.0, 7:0.0]
2024-11-15 20:30:00, 2.644, 4629.6, 3534.8, 0.1732, [0:0.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:50.0, 6:0.0, 7:0.0]
2024-11-15 20:45:00, 2.669, 4618.6, 3534.8, 0.1732, [0:0.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:50.0, 6:0.0, 7:0.0]
2024-11-15 21:00:00, 2.694, 4762.9, 3534.8, 0.0868, [0:0.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:50.0, 6:0.0, 7:0.0]
2024-11-15 21:15:00, 2.721, 4804.7, 3534.8, 0.0868, [0:0.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:50.0, 6:0.0, 7:0.0]
2024-11-15 21:30:00, 2.749, 4865.5, 3534.8, 0.0868, [0:0.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:50.0, 6:0.0, 7:0.0]
2024-11-15 21:45:00, 2.778, 4946.6, 3534.8, 0.0868, [0:0.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:50.0, 6:0.0, 7:0.0]
2024-11-15 22:00:00, 2.792, 5030.2, 4861.1, 0.0315, [0:0.0, 1:48.7, 2:0.0, 3:0.0, 4:0.0, 5:48.7, 6:0.0, 7:0.0]
2024-11-15 22:15:00, 2.800, 5101.2, 4745.4, 0.0315, [0:0.0, 1:48.4, 2:0.0, 3:0.0, 4:0.0, 5:48.4, 6:0.0, 7:0.0]
2024-11-15 22:30:00, 2.807, 5157.5, 4775.0, 0.0315, [0:0.0, 1:48.4, 2:0.0, 3:0.0, 4:0.0, 5:48.4, 6:0.0, 7:0.0]
2024-11-15 22:45:00, 2.815, 5178.1, 4805.0, 0.0315, [0:0.0, 1:48.5, 2:0.0, 3:0.0, 4:0.0, 5:48.5, 6:0.0, 7:0.0]
2024-11-15 23:00:00, 2.820, 5230.0, 4968.1, 0.0096, [0:0.0, 1:49.0, 2:0.0, 3:0.0, 4:0.0, 5:49.0, 6:0.0, 7:0.0]
2024-11-15 23:15:00, 2.824, 5172.2, 4997.3, 0.0096, [0:0.0, 1:49.1, 2:0.0, 3:0.0, 4:0.0, 5:49.1, 6:0.0, 7:0.0]
2024-11-15 23:30:00, 2.827, 5155.5, 5023.8, 0.0096, [0:0.0, 1:49.1, 2:0.0, 3:0.0, 4:0.0, 5:49.1, 6:0.0, 7:0.0]
2024-11-15 23:45:00, 2.830, 5207.7, 5050.4, 0.0096, [0:0.0, 1:49.2, 2:0.0, 3:0.0, 4:0.0, 5:49.2, 6:0.0, 7:0.0]
2024-11-16 00:00:00, 2.833, 5178.9, 5076.0, 0.0037, [0:0.0, 1:49.3, 2:49.3, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-16 00:15:00, 2.835, 5159.6, 5099.6, 0.0037, [0:0.0, 1:49.3, 2:49.3, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-16 00:30:00, 2.835, 5109.0, 5120.4, 0.0037, [0:0.0, 1:49.4, 2:49.4, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-16 00:45:00, 2.833, 4907.4, 5133.7, 0.0037, [0:0.0, 1:49.4, 2:49.4, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-16 01:00:00, 2.828, 4846.9, 4874.2, 0.0034, [0:0.0, 1:48.7, 2:48.7, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-16 01:15:00, 2.821, 4849.5, 5175.3, 0.0034, [0:0.0, 1:49.6, 2:49.6, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-16 01:30:00, 2.813, 4769.7, 5191.1, 0.0034, [0:0.0, 1:49.6, 2:49.6, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-16 01:45:00, 2.801, 4473.4, 5196.9, 0.0034, [0:0.0, 1:49.6, 2:49.6, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-16 02:00:00, 2.786, 4453.7, 5197.4, 0.0030, [0:0.0, 1:49.6, 2:49.6, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-16 02:15:00, 2.770, 4455.8, 5197.2, 0.0030, [0:0.0, 1:49.6, 2:49.6, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-16 02:30:00, 2.753, 4349.9, 5194.3, 0.0030, [0:0.0, 1:49.6, 2:49.6, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-16 02:45:00, 2.731, 4010.0, 5180.4, 0.0030, [0:0.0, 1:49.6, 2:49.6, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-16 03:00:00, 2.695, 3928.3, 12404.8, 0.0028, [0:0.0, 1:50.0, 2:50.0, 3:0.0, 4:50.0, 5:0.0, 6:0.0, 7:50.0]
2024-11-16 03:15:00, 2.415, 3922.8, 16000.0, 0.0028, [0:0.0, 1:0.0, 2:48.5, 3:48.5, 4:48.5, 5:0.0, 6:48.5, 7:48.5]
2024-11-16 03:30:00, 2.089, 3895.5, 16000.0, 0.0028, [0:0.0, 1:0.0, 2:48.5, 3:48.5, 4:48.5, 5:0.0, 6:48.5, 7:48.5]
2024-11-16 03:45:00, 1.679, 3777.8, 16000.0, 0.0028, [0:0.0, 1:0.0, 2:48.5, 3:48.5, 4:48.5, 5:0.0, 6:48.5, 7:48.5]
2024-11-16 04:00:00, 1.034, 3583.6, 16000.0, 0.0030, [0:0.0, 1:0.0, 2:48.5, 3:48.5, 4:48.5, 5:0.0, 6:48.5, 7:48.5]
2024-11-16 04:15:00, 0.511, 3357.5, 1485.3, 0.0030, [0:47.6, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-16 04:30:00, 0.566, 3041.9, 3600.7, 0.0030, [0:50.0, 1:50.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-16 04:45:00, 0.520, 2898.4, 3534.8, 0.0030, [0:0.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:50.0, 6:0.0, 7:0.0]
2024-11-16 05:00:00, 0.483, 2747.5, 2983.5, 0.0035, [0:0.0, 1:0.0, 2:0.0, 3:0.0, 4:47.6, 5:0.0, 6:0.0, 7:0.0]
2024-11-16 05:15:00, 0.672, 2497.1, 3200.0, 0.0035, [0:48.5, 1:48.5, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-16 05:30:00, 0.510, 2379.1, 2983.5, 0.0035, [0:0.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:47.6]
2024-11-16 05:45:00, 0.565, 2377.5, 1485.3, 0.0035, [0:47.6, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-16 06:00:00, 0.512, 2281.7, 3600.7, 0.0044, [0:50.0, 1:50.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-16 06:15:00, 0.534, 2077.3, 0.0, 0.0044, [0:0.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-16 06:30:00, 0.591, 2022.9, 2970.7, 0.0044, [0:47.6, 1:47.6, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-16 06:45:00, 0.548, 2259.0, 1800.4, 0.0044, [0:0.0, 1:50.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-16 07:00:00, 0.643, 2153.7, 1800.4, 0.0061, [0:50.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-16 07:15:00, 0.705, 2094.8, 1800.4, 0.0061, [0:50.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-16 07:30:00, 0.752, 2147.9, 1800.4, 0.0061, [0:50.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-16 07:45:00, 0.800, 2133.6, 1800.4, 0.0061, [0:50.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-16 08:00:00, 0.826, 1947.1, 1800.4, 0.0075, [0:50.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-16 08:15:00, 0.872, 2441.4, 1800.4, 0.0075, [0:50.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-16 08:30:00, 0.954, 2829.9, 1800.4, 0.0075, [0:50.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-16 08:45:00, 1.041, 2842.8, 1800.4, 0.0075, [0:50.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-16 09:00:00, 1.118, 2849.7, 1800.4, 0.0095, [0:50.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-16 09:15:00, 1.177, 2529.9, 1800.4, 0.0095, [0:50.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-16 09:30:00, 1.217, 2340.7, 1800.4, 0.0095, [0:50.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-16 09:45:00, 1.269, 3007.9, 1800.4, 0.0095, [0:50.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-16 10:00:00, 1.306, 1947.1, 1800.4, 0.0550, [0:50.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-16 10:15:00, 1.314, 1947.1, 1800.4, 0.0550, [0:50.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-16 10:30:00, 1.322, 1947.1, 1800.4, 0.0550, [0:50.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-16 10:45:00, 1.330, 1947.1, 1800.4, 0.0550, [0:50.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-16 11:00:00, 1.348, 2341.1, 1800.4, 0.0267, [0:50.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-16 11:15:00, 1.384, 2604.1, 1800.4, 0.0267, [0:50.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-16 11:30:00, 1.451, 3665.4, 1800.4, 0.0267, [0:50.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-16 11:45:00, 1.566, 4944.5, 1800.4, 0.0267, [0:50.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-16 12:00:00, 1.689, 4706.2, 1800.4, 0.0119, [0:50.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-16 12:15:00, 1.793, 4458.5, 1800.4, 0.0119, [0:50.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-16 12:30:00, 1.886, 4525.0, 1800.4, 0.0119, [0:50.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-16 12:45:00, 1.972, 4339.7, 1800.4, 0.0119, [0:50.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
2024-11-16 13:00:00, 2.052, 4456.7, 1800.4, 0.0106, [0:50.0, 1:0.0, 2:0.0, 3:0.0, 4:0.0, 5:0.0, 6:0.0, 7:0.0]
